"Number","ID","Name","Twitter","Status"
13,"42369","AntiBayesian","AntiBayesian","1"
13,"31562","kimiyuki","phar","1"
13,"70155","ysd","ogiek_y","1"
13,"64314","jalpiner","jalpiner","1"
13,"17443","hamadakoichi","hamadakoichi","1"
13,"70160","moda",NA,"1"
13,"10046","rti7743","super_rti","1"
13,"32770","sfchaos","sfchaos","1"
13,"21686","kos59125","kos59125","1"
13,"42227","Yoshiaki Sakai",NA,"1"
13,"70189","Koji Muta",NA,"1"
13,"70190","picco","piccomick","1"
13,"38413","yuca.y","yuca","1"
13,"42582","ShimizuJirocho","ShimizuJirocho","1"
13,"70227","jora",NA,"1"
13,"70249","yokumura",NA,"1"
13,"70325","T.Arahori",NA,"1"
13,"70327","ふゆきち","fuyukitisan","1"
13,"23921","mail2tac",NA,"1"
13,"15759","oshiro40",NA,"1"
13,"50541","kingqwert","kingqwert","1"
13,"2887","koyamak",NA,"1"
13,"51992","maitrikaruna","maitrikaruna","1"
13,"70652","Keiku322","Keiku","1"
13,"70749","Hiromatsu",NA,"1"
13,"11945","wakuteka","wakuteka","1"
13,"71010","ksugi",NA,"1"
13,"53114","_kohta","_kohta","1"
13,"71155","asozure","asozure","1"
13,"60667","akinosugi","akinosugi","1"
13,"71365","thinkring","thinkring","1"
13,"71369","eztoyoda",NA,"1"
13,"71391","ayacova","ayacova","1"
13,"71418","iPad","iPadAppsTokyo","1"
13,"71617","teruu","teruu","1"
13,"32288","a_bicky","a_bicky","1"
13,"7475","nokuno","nokuno","1"
14,"17358","akiaki5516",NA,"1"
14,"5644","holidayworking","holidayworking","1"
14,"48818","gepuro","gepuro","1"
14,"51153","lawmn","lawmn","1"
14,"5923","yokkuns","yokkuns","1"
14,"12254","matsuou1","matsuou1","1"
14,"24186","langstat","langstat","1"
14,"61925","suima8","suima8","1"
14,"52316","dubian100",NA,"1"
14,"34678","fuzzysphere",NA,"1"
14,"75485","isseing333","isseing333","1"
14,"75488","atgmacontnd",NA,"1"
14,"32770","sfchaos","sfchaos","1"
14,"17452","bob3","bob3bob3","1"
14,"71708","__youki__","__youki__","1"
14,"42985","Nikoriks","Nikoriks","1"
14,"52524","mikado_hito","mikado_hito","1"
14,"36075","eizo01",NA,"1"
14,"47113","riem",NA,"1"
14,"71155","asozure","asozure","1"
14,"5387","hiratake55","hiratake55","1"
14,"75427","akyao","akyao","1"
14,"53114","_kohta","_kohta","1"
14,"70749","Hiromatsu",NA,"1"
14,"2887","koyamak",NA,"1"
14,"75608","840kg","840kg","1"
14,"75657","Nekopuni","Nekopuni_","1"
14,"50487","tempy","min_res","1"
14,"12281","shun0102",NA,"1"
15,"2269","manozo","manozo","1"
15,"48818","gepuro","gepuro","1"
15,"17443","hamadakoichi","hamadakoichi","1"
15,"21334","所沢義男",NA,"1"
15,"5923","yokkuns","yokkuns","1"
15,"20454","jmaeno",NA,"1"
15,"50487","tempy","min_res","1"
15,"6418","yatsuta","tyatsuta","1"
15,"19175","aad34210",NA,"1"
15,"5644","holidayworking","holidayworking","1"
15,"17358","akiaki5516",NA,"1"
15,"24501","teramonagi","teramonagi","1"
15,"52524","mikado_hito","mikado_hito","1"
15,"1468","showyou",NA,"1"
15,"41462","mshino55","mshino55","1"
15,"61964","sas20yen()","sas20yen","1"
15,"8275","jaisalmer992","jaisalmer992_","1"
15,"79617","あんちべ","AntiBayes","1"
15,"80241","msei01",NA,"1"
15,"52999","uorat","uorat","1"
15,"75488","atgmacontnd",NA,"1"
15,"71155","asozure","asozure","1"
15,"12254","matsuou1","matsuou1","1"
15,"38689","doryokujin","doryokujin","1"
15,"73748","jiro_1978",NA,"1"
15,"30715","kimukou_26","kimukou_26","1"
15,"80290","kenzrx",NA,"1"
15,"80327","Salam Khan",NA,"1"
15,"39894","understeer","understeer","1"
15,"53114","_kohta","_kohta","1"
15,"75608","840kg","840kg","1"
15,"2887","koyamak",NA,"1"
15,"59261","primnum","primnum","1"
15,"80398","iwanaga",NA,"1"
15,"13949","wdkz","wdkz","1"
15,"58909","oreradio","oreradio","1"
15,"72183","nagaet","nagaet","1"
15,"27645","carrion-crow","carrion_crow","1"
15,"51607","zanjibar","zanjibar","1"
15,"42974","tkshf","fdxi","1"
15,"80774","tkshakmt",NA,"1"
15,"80834","midsan",NA,"1"
16,"5644","holidayworking","holidayworking","1"
16,"21334","所沢義男",NA,"1"
16,"5923","yokkuns","yokkuns","1"
16,"10614","just_do_neet",NA,"1"
16,"13949","wdkz","wdkz","1"
16,"80290","kenzrx",NA,"1"
16,"87177","keny81","kenichi_Su","1"
16,"60433","taquito",NA,"1"
16,"50487","tempy","min_res","1"
16,"50541","kingqwert","kingqwert","1"
16,"51153","lawmn","lawmn","1"
16,"70139","hereticreader","hereticreader","1"
16,"21097","rindai87","rindai87","1"
16,"40925","naritakke","naritakke","1"
16,"38625","actuaryjp","actuaryjp","1"
16,"6418","yatsuta","tyatsuta","1"
16,"87184","yuuukioii","Yuuukioii","1"
16,"75488","atgmacontnd",NA,"1"
16,"70749","Hiromatsu",NA,"1"
16,"2887","koyamak",NA,"1"
16,"58909","oreradio","oreradio","1"
16,"62746","山本たかし","tpyamamoto","1"
16,"83547","kenchan0130_aki","kenchan0130","1"
16,"84960","gsd","gsd","1"
16,"53209","yteruta311","yteruta311","1"
16,"87255","shirokuma","misaoff","1"
16,"17452","bob3","bob3bob3","1"
16,"87274","doradora09","doradora09","1"
16,"28100","tokk",NA,"1"
16,"38700","miyatender","Miyatender","1"
16,"52524","mikado_hito","mikado_hito","1"
16,"87355","3bon","3bon","1"
16,"58490","oshiro","oshiro40","1"
16,"5026","itoyan",NA,"1"
16,"87405","masatoh",NA,"1"
16,"87523","horihorio","horihorio","1"
16,"32288","a_bicky","a_bicky","1"
16,"17443","hamadakoichi","hamadakoichi","1"
16,"87661","はちみつ","toyoken124","1"
16,"53170","jinmensou","jinmensou","1"
16,"42985","Nikoriks","Nikoriks","1"
16,"23921","mail2tac",NA,"1"
16,"87866","otanet123","otanet","1"
17,"21686","kos59125","kos59125","1"
17,"48818","gepuro","gepuro","1"
17,"81718","tsukihissa","tsukihissa","1"
17,"83547","kenchan0130_aki","kenchan0130","1"
17,"65065","kano4","kano4","1"
17,"5644","holidayworking","holidayworking","1"
17,"5026","itoyan",NA,"1"
17,"71909","Yoshio Tokorosawa","dichika","1"
17,"50487","tempy","min_res","1"
17,"2269","manozo","manozo","1"
17,"89984","Tminoda",NA,"1"
17,"75357","millionsmile","millionsmile","1"
17,"85259","takako87","deardream0118","1"
17,"52897","takemikami","takemikami","1"
17,"90376","yasutoshi",NA,"1"
17,"24501","teramonagi","teramonagi","1"
17,"70652","Keiku322","Keiku","1"
17,"24186","langstat","langstat","1"
17,"17452","bob3","bob3bob3","1"
17,"75485","isseing333","isseing333","1"
17,"5687","tsubosaka",NA,"1"
17,"75488","atgmacontnd",NA,"1"
17,"70749","Hiromatsu",NA,"1"
17,"31562","kimiyuki","phar","1"
17,"5923","yokkuns","yokkuns","1"
17,"84896","gerumanium3_2","gerumanium3_2","1"
17,"75657","Nekopuni","Nekopuni_","1"
17,"90538","antiplastics","antiplastics","1"
17,"59261","primnum","primnum","1"
17,"37164","ksk326","ksk326","1"
17,"11849","kamiyashumei","Shumei","1"
17,"87184","yuuukioii","Yuuukioii","1"
17,"28100","tokk",NA,"1"
17,"90564","she_knows_a_key","she_knows_a_key","1"
17,"81797","Kentz","kent_sak","1"
17,"87866","otanet123","otanet","1"
17,"33870","cTnT",NA,"1"
17,"6418","yatsuta","tyatsuta","1"
17,"79848","itochu0523","itochu0523","1"
17,"8275","jaisalmer992","jaisalmer992_","1"
17,"83237","mathfur","mathfur","1"
17,"20261","zaoriku0","zaoriku0","1"
17,"52524","mikado_hito","mikado_hito","1"
17,"50908","tsutatsuta","tsutatsuta","1"
17,"50541","kingqwert","kingqwert","1"
17,"3873","horiyasu","horiuchi","1"
17,"89813","gen_hsnmy","gen_hsnmy","1"
17,"17443","hamadakoichi","hamadakoichi","1"
17,"25087","nagayoshi3",NA,"1"
17,"2887","koyamak",NA,"1"
17,"80656","handyfox","_handyfox","1"
17,"90753","Oezy","Oezy_k","1"
17,"11945","wakuteka","wakuteka","1"
17,"42227","Yoshiaki Sakai",NA,"1"
17,"90829","くんち",NA,"1"
17,"16026","ogawatetsuo14",NA,"1"
17,"34678","fuzzysphere",NA,"1"
17,"87405","masatoh",NA,"1"
17,"79149","tishi",NA,"1"
17,"51153","lawmn","lawmn","1"
18,"25087","nagayoshi3",NA,"1"
18,"5923","yokkuns","yokkuns","1"
18,"71909","Yoshio Tokorosawa","dichika","1"
18,"40046","Ted__Henry","Ted__Henry","1"
18,"27645","carrion-crow","carrion_crow","1"
18,"71391","ayacova","ayacova","1"
18,"5644","holidayworking","holidayworking","1"
18,"70749","Hiromatsu",NA,"1"
18,"71617","teruu","teruu","1"
18,"87523","horihorio","horihorio","1"
18,"24452","sstat3","sstat3","1"
18,"20261","zaoriku0","zaoriku0","1"
18,"93912","ふゆき",NA,"1"
18,"83547","kenchan0130_aki","kenchan0130","1"
18,"93920","sumipan11",NA,"1"
18,"2269","manozo","manozo","1"
18,"23921","mail2tac",NA,"1"
18,"93927","mari89","nmariko_bot","1"
18,"93934","fuji_fujimon","fuji_fujimon","1"
18,"20454","jmaeno",NA,"1"
18,"27129","keima.yama",NA,"1"
18,"75357","millionsmile","millionsmile","1"
18,"2913","Yas_I",NA,"1"
18,"80290","kenzrx",NA,"1"
18,"18849","hnisiji","hnz","1"
18,"75488","atgmacontnd",NA,"1"
18,"19175","aad34210",NA,"1"
18,"61964","sas20yen()","sas20yen","1"
18,"87405","masatoh",NA,"1"
18,"94069","adfive",NA,"1"
18,"55029","ingham_county48825","Ingham_county","1"
18,"89813","gen_hsnmy","gen_hsnmy","1"
18,"94091","nobyt",NA,"1"
18,"46303","mattun_s15",NA,"1"
18,"2887","koyamak",NA,"1"
18,"87274","doradora09","doradora09","1"
